Date;Location;New Cases
3/1/2020;DKI Jakarta;2
3/2/2020;DKI Jakarta;2
3/2/2020;Indonesia;2
3/2/2020;Riau;1
3/3/2020;DKI Jakarta;2
3/3/2020;Indonesia;0
3/3/2020;Jawa Barat;1
3/3/2020;Riau;0
3/4/2020;DKI Jakarta;2
3/4/2020;Indonesia;0
3/4/2020;Jawa Barat;1
3/4/2020;Riau;0
3/5/2020;DKI Jakarta;0
3/5/2020;Indonesia;0
3/5/2020;Jawa Barat;1
3/5/2020;Riau;0
3/6/2020;Banten;1
3/6/2020;DKI Jakarta;0
3/6/2020;Indonesia;2
3/6/2020;Jawa Barat;1
3/6/2020;Riau;0
3/7/2020;Banten;0
3/7/2020;DKI Jakarta;0
3/7/2020;Indonesia;0
3/7/2020;Jawa Barat;0
3/7/2020;Riau;0
3/8/2020;Banten;1
3/8/2020;DKI Jakarta;0
3/8/2020;Indonesia;2
3/8/2020;Jawa Barat;0
3/8/2020;Jawa Tengah;1
3/8/2020;Riau;0
3/9/2020;Banten;0
3/9/2020;DKI Jakarta;0
3/9/2020;Indonesia;13
3/9/2020;Jawa Barat;0
3/9/2020;Jawa Tengah;0
3/9/2020;Riau;0
3/10/2020;Banten;0
3/10/2020;DKI Jakarta;0
3/10/2020;Indonesia;8
3/10/2020;Jawa Barat;0
3/10/2020;Jawa Tengah;0
3/10/2020;Riau;0
3/10/2020;Sulawesi Tenggara;1
3/11/2020;Bali;1
3/11/2020;Banten;0
3/11/2020;DKI Jakarta;0
3/11/2020;Indonesia;7
3/11/2020;Jawa Barat;0
3/11/2020;Jawa Tengah;2
3/11/2020;Riau;0
3/11/2020;Sulawesi Tenggara;0
3/12/2020;Bali;0
3/12/2020;Banten;0
3/12/2020;DKI Jakarta;2
3/12/2020;Indonesia;0
3/12/2020;Jawa Barat;1
3/12/2020;Jawa Tengah;0
3/12/2020;Riau;0
3/12/2020;Sulawesi Tenggara;0
3/13/2020;Bali;0
3/13/2020;Banten;1
3/13/2020;DKI Jakarta;4
3/13/2020;Indonesia;35
3/13/2020;Jawa Barat;4
3/13/2020;Jawa Tengah;0
3/13/2020;Riau;0
3/13/2020;Sulawesi Tenggara;0
3/14/2020;Bali;0
3/14/2020;Banten;1
3/14/2020;DKI Jakarta;2
3/14/2020;Indonesia;27
3/14/2020;Jawa Barat;0
3/14/2020;Jawa Tengah;2
3/14/2020;Kalimantan Timur;3
3/14/2020;Riau;0
3/14/2020;Sulawesi Tenggara;0
3/15/2020;Bali;0
3/15/2020;Banten;1
3/15/2020;DKI Jakarta;8
3/15/2020;Indonesia;21
3/15/2020;Jawa Barat;0
3/15/2020;Jawa Tengah;1
3/15/2020;Kalimantan Timur;2
3/15/2020;Riau;0
3/15/2020;Sulawesi Tenggara;0
3/16/2020;Bali;0
3/16/2020;Banten;1
3/16/2020;DKI Jakarta;2
3/16/2020;Daerah Istimewa Yogyakarta;1
3/16/2020;Indonesia;17
